%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1438351936942569031,132618,1438351936942569031,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0143815008923,-0.0308364331722,0.00882873032242,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0468543767929,-1.43135344982,9.47054958344,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351936952695036,132619,1438351936952695036,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0128302564844,-0.0301393978298,0.00957737956196,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0564012639225,-1.43401312828,9.47816181183,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351936962808046,132620,1438351936962808046,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0131904315203,-0.0308095552027,0.00931352283806,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0567674599588,-1.43800497055,9.4665813446,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351936974721160,132621,1438351936974721160,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0135288033634,-0.0306169055402,0.00859597790986,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0507944151759,-1.42362129688,9.44915390015,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351936985058779,132622,1438351936985058779,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0147261722013,-0.0300726704299,0.00948779471219,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0497315078974,-1.42976272106,9.47705173492,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351936996945558,132623,1438351936996945558,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0126739749685,-0.0300602205098,0.00879214610904,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0371184051037,-1.43710112572,9.48844528198,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937007261802,132624,1438351937007261802,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0129398815334,-0.0307512059808,0.00923663470894,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0298050325364,-1.44010698795,9.48788452148,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937019165019,132625,1438351937019165019,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0138434981927,-0.0310378614813,0.00873470027,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.046450342983,-1.4237588644,9.49362373352,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937029280860,132626,1438351937029280860,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0135875781998,-0.0307156536728,0.00983980577439,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.062770485878,-1.42462134361,9.48481559753,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937041211886,132627,1438351937041211886,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0143741890788,-0.0307038445026,0.0094898911193,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0602669902146,-1.42822337151,9.4643611908,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
